puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mate_in_one_heuristic,1,2,10,0.038488041995151434,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,attacker_proximity_heuristic,1,2,3,0.0026850829963223077,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,opponent_king_escape_heuristic,1,2,4,0.005122333001054358,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mobility_heuristic,1,2,3,0.001977499996428378,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,checks_available_heuristic,1,2,3,0.0063190840010065585,0
001KR,591,h8g8 f1f8,['mate' 'mateIn1' 'middlegame' 'oneMove'],6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,composite_heuristic,1,2,3,0.009531874995445833,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],bfs,na,1,2,59,0.012539292001747526,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],dfs,na,1,6,10865,0.376171208001324,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],ucs,na,1,2,59,0.012396082995110191,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,null_heuristic,1,2,59,0.012298542002099566,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,material_heuristic,1,2,54,0.013176792002923321,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,mate_in_one_heuristic,1,2,10,0.008660334002343006,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,attacker_proximity_heuristic,1,2,66,0.016941832996963058,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,opponent_king_escape_heuristic,1,2,56,0.020742791995871812,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,mobility_heuristic,1,2,3,0.0008315419981954619,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,checks_available_heuristic,1,2,27,0.016840458003571257,0
001cr,1634,c5c4 d7e8,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,1,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],astar,composite_heuristic,1,2,12,0.013724332995479926,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],bfs,na,1,2,30,0.032026875000156,0
